accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	collection_date	geo_loc_name	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	culture_collection	death_date	disease	disease_stage	genotype	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	gmgi_sequence_id
SAMN52748493	Successfully loaded	Mae-496	21180		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Resting	2023-05-18	USA: Gulf of Maine	female	fin clip																									Mae-496	Mae-496
SAMN52748494	Successfully loaded	Mae-499	21808		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Ripe	2023-05-18	USA: Gulf of Maine	male	fin clip																									Mae-499	Mae-499
SAMN52748495	Successfully loaded	Mae-501	21820		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.2	Ripe	2023-05-18	USA: Gulf of Maine	male	fin clip																									Mae-501	Mae-501
SAMN52748496	Successfully loaded	Mae-502	21840		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Spent	2023-05-18	USA: Gulf of Maine	female	fin clip																									Mae-502	Mae-502
SAMN52748497	Successfully loaded	Mae-509	22977		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Resting	2023-05-19	USA: Gulf of Maine	male	fin clip																									Mae-509	Mae-509
SAMN52748498	Successfully loaded	Mae-512	23999		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Immature	2023-05-19	USA: Gulf of Maine	male	fin clip																									Mae-512	Mae-512
SAMN52748499	Successfully loaded	Mae-519	25508		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.2	Resting	2023-05-20	USA: Gulf of Maine	female	fin clip																									Mae-519	Mae-519
SAMN52748500	Successfully loaded	Mae-520	28871		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.2	Resting	2023-05-21	USA: Gulf of Maine	female	fin clip																									Mae-520	Mae-520
SAMN52748501	Successfully loaded	Mae-524	30504		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Developing	2023-05-21	USA: Gulf of Maine	male	fin clip																									Mae-524	Mae-524
SAMN52748502	Successfully loaded	Mae-525	30649		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Developing	2023-05-21	USA: Gulf of Maine	male	fin clip																									Mae-525	Mae-525
SAMN52748503	Successfully loaded	Mae-533	31353		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.2	Resting	2023-05-22	USA: Gulf of Maine	female	fin clip																									Mae-533	Mae-533
SAMN52748504	Successfully loaded	Mae-535	31416		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	8.2	Resting	2023-05-22	USA: Gulf of Maine	female	fin clip																									Mae-535	Mae-535
SAMN52748505	Successfully loaded	Mae-537	32670		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.2	Immature	2023-05-22	USA: Gulf of Maine	male	fin clip																									Mae-537	Mae-537
SAMN52748506	Successfully loaded	Mae-265	109505		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-10-24	USA: Gulf of Maine	female	fin clip																									Mae-265	Mae-265
SAMN52748507	Successfully loaded	Mae-271	121196		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-10-26	USA: Gulf of Maine	male	fin clip																									Mae-271	Mae-271
SAMN52748508	Successfully loaded	Mae-275	121539		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Resting	2022-10-26	USA: Gulf of Maine	female	fin clip																									Mae-275	Mae-275
SAMN52748509	Successfully loaded	Mae-282	124994		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.65	Resting	2022-11-02	USA: Gulf of Maine	female	fin clip																									Mae-282	Mae-282
SAMN52748510	Successfully loaded	Mae-284	125056		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-02	USA: Gulf of Maine	female	fin clip																									Mae-284	Mae-284
SAMN52748511	Successfully loaded	Mae-286	126003		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.65	Resting	2022-11-02	USA: Gulf of Maine	male	fin clip																									Mae-286	Mae-286
SAMN52748512	Successfully loaded	Mae-288	126083		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-02	USA: Gulf of Maine	female	fin clip																									Mae-288	Mae-288
SAMN52748513	Successfully loaded	Mae-292	128694		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-292	Mae-292
SAMN52748514	Successfully loaded	Mae-299	130004		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-03	USA: Gulf of Maine	male	fin clip																									Mae-299	Mae-299
SAMN52748515	Successfully loaded	Mae-300	132773		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Resting	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-300	Mae-300
SAMN52748516	Successfully loaded	Mae-303	133617		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-03	USA: Gulf of Maine	male	fin clip																									Mae-303	Mae-303
