#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0051239	Regulation of multicellular organismal process	19	1641	0.41	0.33	0.0247	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000003483,8049.ENSGMOP00000003809,8049.ENSGMOP00000004711,8049.ENSGMOP00000005306,8049.ENSGMOP00000007861,8049.ENSGMOP00000007903,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013726,8049.ENSGMOP00000014980,8049.ENSGMOP00000016837,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020184,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324	ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,LAMA3,ENSGMOP00000003809,ENSGMOP00000004711,ENSGMOP00000005306,ENSGMOP00000007861,ENSGMOP00000007903,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013726,ENSGMOP00000014980,ENSGMOP00000016837,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020184,ENSGMOP00000020316,ENSGMOP00000020324
GO Process	GO:0030334	Regulation of cell migration	10	516	0.64	0.38	0.0253	8049.ENSGMOP00000000394,8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000007903,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316	ENSGMOP00000000394,LAMA3,ENSGMOP00000005306,ENSGMOP00000007903,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020316
GO Process	GO:0098529	Neuromuscular junction development, skeletal muscle fiber	2	2	2.35	0.49	0.0253	8049.ENSGMOP00000009057,8049.ENSGMOP00000021060	ENSGMOP00000009057,ENSGMOP00000021060
GO Process	GO:0032501	Multicellular organismal process	38	4864	0.24	0.28	0.0274	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000001688,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006481,8049.ENSGMOP00000006558,8049.ENSGMOP00000007617,8049.ENSGMOP00000007903,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015958,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000016804,8049.ENSGMOP00000017401,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000001688,ENSGMOP00000003381,LAMA3,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006481,ENSGMOP00000006558,ENSGMOP00000007617,ENSGMOP00000007903,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015958,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000016804,ENSGMOP00000017401,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020316,ENSGMOP00000020324,ENSGMOP00000021060
GO Process	GO:0009893	Positive regulation of metabolic process	25	2603	0.33	0.3	0.0293	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000003547,8049.ENSGMOP00000003815,8049.ENSGMOP00000005084,8049.ENSGMOP00000006307,8049.ENSGMOP00000007440,8049.ENSGMOP00000007617,8049.ENSGMOP00000008916,8049.ENSGMOP00000009025,8049.ENSGMOP00000009512,8049.ENSGMOP00000011775,8049.ENSGMOP00000013403,8049.ENSGMOP00000013986,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000017484,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000003547,ENSGMOP00000003815,ENSGMOP00000005084,ENSGMOP00000006307,ENSGMOP00000007440,ENSGMOP00000007617,ENSGMOP00000008916,ENSGMOP00000009025,ENSGMOP00000009512,ENSGMOP00000011775,ENSGMOP00000013403,ENSGMOP00000013986,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000017484,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020316
GO Process	GO:0060429	Epithelium development	12	753	0.55	0.35	0.0293	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000001688,8049.ENSGMOP00000003547,8049.ENSGMOP00000006481,8049.ENSGMOP00000007617,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000013414,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000021060	ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000001688,ENSGMOP00000003547,ENSGMOP00000006481,ENSGMOP00000007617,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000013414,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000021060
GO Process	GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	3	21	1.5	0.45	0.0309	8049.ENSGMOP00000000741,8049.ENSGMOP00000014980,8049.ENSGMOP00000017317	ENSGMOP00000000741,ENSGMOP00000014980,ENSGMOP00000017317
GO Process	GO:0042221	Response to chemical	23	2299	0.35	0.3	0.0309	8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000002985,8049.ENSGMOP00000004735,8049.ENSGMOP00000005743,8049.ENSGMOP00000006307,8049.ENSGMOP00000007568,8049.ENSGMOP00000007903,8049.ENSGMOP00000011775,8049.ENSGMOP00000012990,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000016451,8049.ENSGMOP00000017523,8049.ENSGMOP00000018687,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136,8049.ENSGMOP00000020316,8049.ENSGMOP00000020324	ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000002985,ENSGMOP00000004735,ENSGMOP00000005743,ENSGMOP00000006307,ENSGMOP00000007568,ENSGMOP00000007903,ENSGMOP00000011775,ENSGMOP00000012990,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000016451,ENSGMOP00000017523,ENSGMOP00000018687,ENSGMOP00000019803,ENSGMOP00000020136,ENSGMOP00000020316,ENSGMOP00000020324
GO Process	GO:0003179	Heart valve morphogenesis	3	22	1.48	0.44	0.0334	8049.ENSGMOP00000000295,8049.ENSGMOP00000003547,8049.ENSGMOP00000019803	ENSGMOP00000000295,ENSGMOP00000003547,ENSGMOP00000019803
GO Process	GO:0031589	Cell-substrate adhesion	5	113	0.99	0.41	0.0334	8049.ENSGMOP00000002985,8049.ENSGMOP00000005232,8049.ENSGMOP00000016347,8049.ENSGMOP00000016798,8049.ENSGMOP00000017523	ENSGMOP00000002985,ENSGMOP00000005232,ENSGMOP00000016347,ENSGMOP00000016798,ENSGMOP00000017523
GO Process	GO:0090162	Establishment of epithelial cell polarity	3	22	1.48	0.44	0.0334	8049.ENSGMOP00000009057,8049.ENSGMOP00000019958,8049.ENSGMOP00000021060	ENSGMOP00000009057,ENSGMOP00000019958,ENSGMOP00000021060
GO Process	GO:2000026	Regulation of multicellular organismal development	12	776	0.54	0.34	0.0334	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000003483,8049.ENSGMOP00000003809,8049.ENSGMOP00000004711,8049.ENSGMOP00000005306,8049.ENSGMOP00000007861,8049.ENSGMOP00000016837,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020184,8049.ENSGMOP00000020324	ENSGMOP00000000295,ENSGMOP00000000394,LAMA3,ENSGMOP00000003809,ENSGMOP00000004711,ENSGMOP00000005306,ENSGMOP00000007861,ENSGMOP00000016837,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020184,ENSGMOP00000020324
GO Process	GO:0030154	Cell differentiation	24	2526	0.33	0.28	0.0397	8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000003381,8049.ENSGMOP00000003483,8049.ENSGMOP00000003929,8049.ENSGMOP00000005306,8049.ENSGMOP00000006307,8049.ENSGMOP00000006481,8049.ENSGMOP00000006664,8049.ENSGMOP00000007617,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000013414,8049.ENSGMOP00000015513,8049.ENSGMOP00000016347,8049.ENSGMOP00000016798,8049.ENSGMOP00000017194,8049.ENSGMOP00000017401,8049.ENSGMOP00000019065,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000003381,LAMA3,ENSGMOP00000003929,ENSGMOP00000005306,ENSGMOP00000006307,ENSGMOP00000006481,ENSGMOP00000006664,ENSGMOP00000007617,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000013414,ENSGMOP00000015513,ENSGMOP00000016347,ENSGMOP00000016798,nr2e1,ENSGMOP00000017401,ENSGMOP00000019065,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020324,ENSGMOP00000021060
GO Process	GO:0051896	Regulation of protein kinase B signaling	4	69	1.11	0.38	0.0486	8049.ENSGMOP00000000741,8049.ENSGMOP00000014980,8049.ENSGMOP00000019803,8049.ENSGMOP00000020136	ENSGMOP00000000741,ENSGMOP00000014980,ENSGMOP00000019803,ENSGMOP00000020136
GO Function	GO:0005009	Insulin receptor activity	3	6	2.05	0.53	0.0185	8049.ENSGMOP00000000192,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000013403,ENSGMOP00000016451
GO Function	GO:0043560	Insulin receptor substrate binding	3	7	1.98	0.53	0.0185	8049.ENSGMOP00000000192,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000013403,ENSGMOP00000016451
GO Component	GO:0062023	Collagen-containing extracellular matrix	10	275	0.91	0.75	0.00071	8049.ENSGMOP00000000797,8049.ENSGMOP00000001078,8049.ENSGMOP00000001688,8049.ENSGMOP00000003483,8049.ENSGMOP00000004711,8049.ENSGMOP00000005306,8049.ENSGMOP00000009025,8049.ENSGMOP00000009058,8049.ENSGMOP00000009077,8049.ENSGMOP00000016347	ENSGMOP00000000797,LTBP3,ENSGMOP00000001688,LAMA3,ENSGMOP00000004711,ENSGMOP00000005306,ENSGMOP00000009025,ENSGMOP00000009058,ENSGMOP00000009077,ENSGMOP00000016347
GO Component	GO:0030054	Cell junction	22	1603	0.49	0.53	0.00081	8049.ENSGMOP00000000394,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000003929,8049.ENSGMOP00000003952,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006558,8049.ENSGMOP00000006686,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000015958,8049.ENSGMOP00000016837,8049.ENSGMOP00000017523,8049.ENSGMOP00000019499,8049.ENSGMOP00000019698,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000394,ENSGMOP00000002985,LAMA3,ENSGMOP00000003929,ENSGMOP00000003952,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006558,LPP,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000015958,ENSGMOP00000016837,ENSGMOP00000017523,ENSGMOP00000019499,ENSGMOP00000019698,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000020184,ENSGMOP00000021060
GO Component	GO:0032991	Protein-containing complex	42	4713	0.3	0.43	0.00081	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000295,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000000797,8049.ENSGMOP00000001118,8049.ENSGMOP00000002985,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003815,8049.ENSGMOP00000003929,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000005743,8049.ENSGMOP00000006350,8049.ENSGMOP00000007440,8049.ENSGMOP00000007573,8049.ENSGMOP00000007617,8049.ENSGMOP00000009025,8049.ENSGMOP00000009057,8049.ENSGMOP00000009077,8049.ENSGMOP00000010033,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000013414,8049.ENSGMOP00000013726,8049.ENSGMOP00000013986,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000015513,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000017279,8049.ENSGMOP00000017401,8049.ENSGMOP00000017484,8049.ENSGMOP00000017523,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000021060	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000295,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000000797,ENSGMOP00000001118,ENSGMOP00000002985,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003815,ENSGMOP00000003929,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000005743,ENSGMOP00000006350,ENSGMOP00000007440,ENSGMOP00000007573,ENSGMOP00000007617,ENSGMOP00000009025,ENSGMOP00000009057,ENSGMOP00000009077,ENSGMOP00000010033,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000013414,ENSGMOP00000013726,ENSGMOP00000013986,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000015513,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000017279,ENSGMOP00000017401,ENSGMOP00000017484,ENSGMOP00000017523,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000021060
GO Component	GO:0061695	Transferase complex, transferring phosphorus-containing groups	9	257	0.89	0.73	0.00081	8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000013403,8049.ENSGMOP00000013726,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000017279,8049.ENSGMOP00000017484,8049.ENSGMOP00000019958	ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000013403,ENSGMOP00000013726,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000017279,ENSGMOP00000017484,ENSGMOP00000019958
GO Component	GO:0098636	Protein complex involved in cell adhesion	5	39	1.46	0.88	0.00081	8049.ENSGMOP00000002985,8049.ENSGMOP00000003929,8049.ENSGMOP00000005232,8049.ENSGMOP00000009025,8049.ENSGMOP00000017523	ENSGMOP00000002985,ENSGMOP00000003929,ENSGMOP00000005232,ENSGMOP00000009025,ENSGMOP00000017523
GO Component	GO:0005899	Insulin receptor complex	3	5	2.13	0.91	0.00099	8049.ENSGMOP00000000192,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451	ENSGMOP00000000192,ENSGMOP00000013403,ENSGMOP00000016451
GO Component	GO:0031012	Extracellular matrix	11	443	0.74	0.65	0.00100	8049.ENSGMOP00000000797,8049.ENSGMOP00000001078,8049.ENSGMOP00000001688,8049.ENSGMOP00000003483,8049.ENSGMOP00000004711,8049.ENSGMOP00000005306,8049.ENSGMOP00000009025,8049.ENSGMOP00000009058,8049.ENSGMOP00000009077,8049.ENSGMOP00000016347,8049.ENSGMOP00000019803	ENSGMOP00000000797,LTBP3,ENSGMOP00000001688,LAMA3,ENSGMOP00000004711,ENSGMOP00000005306,ENSGMOP00000009025,ENSGMOP00000009058,ENSGMOP00000009077,ENSGMOP00000016347,ENSGMOP00000019803
GO Component	GO:1990234	Transferase complex	14	757	0.62	0.58	0.0011	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000003815,8049.ENSGMOP00000005743,8049.ENSGMOP00000007617,8049.ENSGMOP00000013403,8049.ENSGMOP00000013726,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000017279,8049.ENSGMOP00000017484,8049.ENSGMOP00000019958	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000003815,ENSGMOP00000005743,ENSGMOP00000007617,ENSGMOP00000013403,ENSGMOP00000013726,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000017279,ENSGMOP00000017484,ENSGMOP00000019958
GO Component	GO:0005604	Basement membrane	5	67	1.22	0.75	0.0018	8049.ENSGMOP00000001688,8049.ENSGMOP00000003483,8049.ENSGMOP00000005306,8049.ENSGMOP00000009025,8049.ENSGMOP00000016347	ENSGMOP00000001688,LAMA3,ENSGMOP00000005306,ENSGMOP00000009025,ENSGMOP00000016347
GO Component	GO:0005923	Bicellular tight junction	6	111	1.08	0.72	0.0018	8049.ENSGMOP00000003929,8049.ENSGMOP00000003952,8049.ENSGMOP00000012747,8049.ENSGMOP00000019698,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136	ENSGMOP00000003929,ENSGMOP00000003952,ENSGMOP00000012747,ENSGMOP00000019698,ENSGMOP00000019958,ENSGMOP00000020136
GO Component	GO:0070161	Anchoring junction	15	935	0.55	0.53	0.0018	8049.ENSGMOP00000000394,8049.ENSGMOP00000002985,8049.ENSGMOP00000003929,8049.ENSGMOP00000003952,8049.ENSGMOP00000005232,8049.ENSGMOP00000006686,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000012747,8049.ENSGMOP00000017523,8049.ENSGMOP00000019499,8049.ENSGMOP00000019698,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000021060	ENSGMOP00000000394,ENSGMOP00000002985,ENSGMOP00000003929,ENSGMOP00000003952,ENSGMOP00000005232,LPP,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000012747,ENSGMOP00000017523,ENSGMOP00000019499,ENSGMOP00000019698,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000021060
GO Component	GO:0098802	Plasma membrane signaling receptor complex	6	150	0.95	0.58	0.0059	8049.ENSGMOP00000000192,8049.ENSGMOP00000002985,8049.ENSGMOP00000005232,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000017523	ENSGMOP00000000192,ENSGMOP00000002985,ENSGMOP00000005232,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000017523
GO Component	GO:1902494	Catalytic complex	17	1349	0.45	0.41	0.0077	8049.ENSGMOP00000000116,8049.ENSGMOP00000000192,8049.ENSGMOP00000000741,8049.ENSGMOP00000003815,8049.ENSGMOP00000005743,8049.ENSGMOP00000006350,8049.ENSGMOP00000007617,8049.ENSGMOP00000010033,8049.ENSGMOP00000013403,8049.ENSGMOP00000013726,8049.ENSGMOP00000014278,8049.ENSGMOP00000014980,8049.ENSGMOP00000016451,8049.ENSGMOP00000017279,8049.ENSGMOP00000017401,8049.ENSGMOP00000017484,8049.ENSGMOP00000019958	ENSGMOP00000000116,ENSGMOP00000000192,ENSGMOP00000000741,ENSGMOP00000003815,ENSGMOP00000005743,ENSGMOP00000006350,ENSGMOP00000007617,ENSGMOP00000010033,ENSGMOP00000013403,ENSGMOP00000013726,ENSGMOP00000014278,ENSGMOP00000014980,ENSGMOP00000016451,ENSGMOP00000017279,ENSGMOP00000017401,ENSGMOP00000017484,ENSGMOP00000019958
GO Component	GO:0005925	Focal adhesion	5	112	1.0	0.51	0.0131	8049.ENSGMOP00000002985,8049.ENSGMOP00000005232,8049.ENSGMOP00000006686,8049.ENSGMOP00000017523,8049.ENSGMOP00000019499	ENSGMOP00000002985,ENSGMOP00000005232,LPP,ENSGMOP00000017523,ENSGMOP00000019499
GO Component	GO:0008305	Integrin complex	3	29	1.36	0.47	0.0256	8049.ENSGMOP00000002985,8049.ENSGMOP00000005232,8049.ENSGMOP00000017523	ENSGMOP00000002985,ENSGMOP00000005232,ENSGMOP00000017523
GO Component	GO:0030424	Axon	8	390	0.66	0.39	0.0256	8049.ENSGMOP00000000192,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000019958,8049.ENSGMOP00000020324,8049.ENSGMOP00000021060	ENSGMOP00000000192,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000019958,ENSGMOP00000020324,ENSGMOP00000021060
GO Component	GO:0071944	Cell periphery	38	5178	0.21	0.27	0.0307	8049.ENSGMOP00000000192,8049.ENSGMOP00000000394,8049.ENSGMOP00000000741,8049.ENSGMOP00000000797,8049.ENSGMOP00000001078,8049.ENSGMOP00000001688,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000003911,8049.ENSGMOP00000003929,8049.ENSGMOP00000003952,8049.ENSGMOP00000004711,8049.ENSGMOP00000004735,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000006664,8049.ENSGMOP00000007568,8049.ENSGMOP00000007903,8049.ENSGMOP00000009025,8049.ENSGMOP00000009058,8049.ENSGMOP00000009077,8049.ENSGMOP00000011775,8049.ENSGMOP00000012747,8049.ENSGMOP00000012990,8049.ENSGMOP00000013161,8049.ENSGMOP00000013403,8049.ENSGMOP00000014980,8049.ENSGMOP00000015958,8049.ENSGMOP00000016347,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000017523,8049.ENSGMOP00000019065,8049.ENSGMOP00000019698,8049.ENSGMOP00000019803,8049.ENSGMOP00000019958,8049.ENSGMOP00000020136,8049.ENSGMOP00000021771	ENSGMOP00000000192,ENSGMOP00000000394,ENSGMOP00000000741,ENSGMOP00000000797,LTBP3,ENSGMOP00000001688,ENSGMOP00000002985,LAMA3,ENSGMOP00000003911,ENSGMOP00000003929,ENSGMOP00000003952,ENSGMOP00000004711,ENSGMOP00000004735,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000006664,ENSGMOP00000007568,ENSGMOP00000007903,ENSGMOP00000009025,ENSGMOP00000009058,ENSGMOP00000009077,ENSGMOP00000011775,ENSGMOP00000012747,ENSGMOP00000012990,ENSGMOP00000013161,ENSGMOP00000013403,ENSGMOP00000014980,ENSGMOP00000015958,ENSGMOP00000016347,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000017523,ENSGMOP00000019065,ENSGMOP00000019698,ENSGMOP00000019803,ENSGMOP00000019958,ENSGMOP00000020136,ENSGMOP00000021771
GO Component	GO:0000932	P-body	4	88	1.01	0.38	0.0436	8049.ENSGMOP00000005084,8049.ENSGMOP00000009512,8049.ENSGMOP00000013986,8049.ENSGMOP00000015596	ENSGMOP00000005084,ENSGMOP00000009512,ENSGMOP00000013986,ENSGMOP00000015596
GO Component	GO:0031981	Nuclear lumen	22	2416	0.31	0.27	0.0468	8049.ENSGMOP00000000116,8049.ENSGMOP00000000295,8049.ENSGMOP00000003514,8049.ENSGMOP00000003547,8049.ENSGMOP00000003809,8049.ENSGMOP00000003815,8049.ENSGMOP00000004735,8049.ENSGMOP00000005084,8049.ENSGMOP00000006481,8049.ENSGMOP00000007440,8049.ENSGMOP00000007568,8049.ENSGMOP00000007617,8049.ENSGMOP00000007861,8049.ENSGMOP00000008916,8049.ENSGMOP00000009512,8049.ENSGMOP00000012990,8049.ENSGMOP00000013726,8049.ENSGMOP00000016134,8049.ENSGMOP00000017279,8049.ENSGMOP00000017401,8049.ENSGMOP00000017484,8049.ENSGMOP00000018687	ENSGMOP00000000116,ENSGMOP00000000295,ENSGMOP00000003514,ENSGMOP00000003547,ENSGMOP00000003809,ENSGMOP00000003815,ENSGMOP00000004735,ENSGMOP00000005084,ENSGMOP00000006481,ENSGMOP00000007440,ENSGMOP00000007568,ENSGMOP00000007617,ENSGMOP00000007861,ENSGMOP00000008916,ENSGMOP00000009512,ENSGMOP00000012990,ENSGMOP00000013726,ENSGMOP00000016134,ENSGMOP00000017279,ENSGMOP00000017401,ENSGMOP00000017484,ENSGMOP00000018687
GO Component	GO:0043235	Receptor complex	7	339	0.66	0.33	0.0473	8049.ENSGMOP00000000192,8049.ENSGMOP00000002985,8049.ENSGMOP00000005232,8049.ENSGMOP00000013403,8049.ENSGMOP00000016451,8049.ENSGMOP00000016798,8049.ENSGMOP00000017523	ENSGMOP00000000192,ENSGMOP00000002985,ENSGMOP00000005232,ENSGMOP00000013403,ENSGMOP00000016451,ENSGMOP00000016798,ENSGMOP00000017523
STRING clusters	CL:1502	ECM-receptor interaction	10	74	1.48	2.0	1.65e-08	8049.ENSGMOP00000000797,8049.ENSGMOP00000002985,8049.ENSGMOP00000003483,8049.ENSGMOP00000004711,8049.ENSGMOP00000005232,8049.ENSGMOP00000005306,8049.ENSGMOP00000009025,8049.ENSGMOP00000009077,8049.ENSGMOP00000016347,8049.ENSGMOP00000017523	ENSGMOP00000000797,ENSGMOP00000002985,LAMA3,ENSGMOP00000004711,ENSGMOP00000005232,ENSGMOP00000005306,ENSGMOP00000009025,ENSGMOP00000009077,ENSGMOP00000016347,ENSGMOP00000017523
STRING clusters	CL:1084	Mixed, incl. Small GTPase mediated signal transduction, and CDC42 GTPase cycle	10	192	1.07	1.09	2.28e-05	8049.ENSGMOP00000000394,8049.ENSGMOP00000003911,8049.ENSGMOP00000006558,8049.ENSGMOP00000007568,8049.ENSGMOP00000009057,8049.ENSGMOP00000011506,8049.ENSGMOP00000012990,8049.ENSGMOP00000019065,8049.ENSGMOP00000020184,8049.ENSGMOP00000021060	ENSGMOP00000000394,ENSGMOP00000003911,ENSGMOP00000006558,ENSGMOP00000007568,ENSGMOP00000009057,ENSGMOP00000011506,ENSGMOP00000012990,ENSGMOP00000019065,ENSGMOP00000020184,ENSGMOP00000021060
