"","sample","fastq_1","fastq_2"
"1","Mae-263_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-263_S1_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-263_S1_R2_001.fastq.gz"
"2","Mae-266_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-266_S2_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-266_S2_R2_001.fastq.gz"
"3","Mae-274_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-274_S3_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-274_S3_R2_001.fastq.gz"
"4","Mae-278_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-278_S4_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-278_S4_R2_001.fastq.gz"
"5","Mae-281_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-281_S5_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-281_S5_R2_001.fastq.gz"
"6","Mae-285_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-285_S6_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-285_S6_R2_001.fastq.gz"
"7","Mae-293_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-293_S7_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-293_S7_R2_001.fastq.gz"
"8","Mae-294_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-294_S8_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-294_S8_R2_001.fastq.gz"
"9","Mae-295_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-295_S9_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-295_S9_R2_001.fastq.gz"
"10","Mae-298_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-298_S10_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-298_S10_R2_001.fastq.gz"
"11","Mae-302_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-302_S11_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-302_S11_R2_001.fastq.gz"
"12","Mae-305_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-305_S12_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-305_S12_R2_001.fastq.gz"
"13","Mae-310_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-310_S13_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-310_S13_R2_001.fastq.gz"
"14","Mae-311_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-311_S14_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-311_S14_R2_001.fastq.gz"
"15","Mae-317_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-317_S15_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-317_S15_R2_001.fastq.gz"
"16","Mae-322_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-322_S16_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-322_S16_R2_001.fastq.gz"
"17","Mae-327_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-327_S17_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-327_S17_R2_001.fastq.gz"
"18","Mae-329_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-329_S18_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-329_S18_R2_001.fastq.gz"
"19","Mae-330_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-330_S19_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-330_S19_R2_001.fastq.gz"
"20","Mae-338_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-338_S20_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-338_S20_R2_001.fastq.gz"
"21","Mae-342_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-342_S21_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-342_S21_R2_001.fastq.gz"
"22","Mae-343_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-343_S22_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-343_S22_R2_001.fastq.gz"
"23","Mae-344_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-344_S23_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-344_S23_R2_001.fastq.gz"
"24","Mae-350_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-350_S24_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-350_S24_R2_001.fastq.gz"
"25","Mae-352_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-352_S25_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-352_S25_R2_001.fastq.gz"
"26","Mae-356_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-356_S26_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-356_S26_R2_001.fastq.gz"
"27","Mae-368_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-368_S27_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-368_S27_R2_001.fastq.gz"
"28","Mae-371_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-371_S28_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-371_S28_R2_001.fastq.gz"
"29","Mae-378_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-378_S29_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-378_S29_R2_001.fastq.gz"
"30","Mae-390_REP1","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-390_S32_R1_001.fastq.gz","/work/gmgi/Fisheries/epiage/haddock/raw_data/Mae-390_S32_R2_001.fastq.gz"
